id,name,category_id,subcategory_id,quantity,unit,storage,days_added,days_opened,days_frozen,is_leftover,purchase_price,expiry_override_days
demo-chicken,Chicken Breast,meat,chicken,400,g,fridge,2,1,,,0,
demo-rice,Leftover Rice,grains,rice,300,g,fridge,1,1,,true,0,1
demo-tomatoes,Tomatoes,produce,vegetables,4,pcs,fridge,5,,,false,45,
demo-milk,Milk,dairy,milk,500,ml,fridge,4,3,,false,80,
demo-orange-juice,Orange Juice,produce,fruits,500,ml,fridge,3,1,,false,75,
demo-eggs,Eggs,dairy,eggs,10,pcs,fridge,2,,,false,120,
demo-yogurt,Yogurt,dairy,yogurt,150,g,fridge,2,,,false,55,
demo-beef,Beef,meat,beef,500,g,freezer,3,,3,false,250,
demo-pork,Pork Chops,meat,pork,300,g,freezer,7,,7,false,180,
demo-frozen-veg,Frozen Mixed Veg,produce,vegetables,500,g,freezer,5,,5,false,65,
demo-pasta,Pasta,grains,pasta,500,g,pantry,10,,,false,45,
demo-soy-sauce,Soy Sauce,pantry,condiments,250,ml,pantry,30,25,,false,60,
